speed_kmh,payload_kg,ambient_temp_C,hvac_power_kw,road_grade_pct,battery_temp_C,driving_style_index,tire_pressure_bar,trip_distance_km,energy_consumption_kwhper100km
61.2,360.1,-9.8,3.43,-4.65,24.0,0.687,2.38,35.7,25.357
124.6,343.6,-10.0,2.34,-4.9,17.8,0.413,2.79,9.1,25.554
100.5,47.9,13.6,0.28,-2.08,18.8,0.28,2.58,68.8,18.004
85.9,461.3,-8.5,4.59,5.39,20.4,0.616,2.68,165.7,34.539
37.2,284.2,38.7,4.9,6.76,21.1,0.74,2.35,8.0,26.883
37.2,181.9,1.1,2.16,0.09,22.3,0.255,2.72,26.3,21.137
26.4,378.3,13.6,3.07,2.32,22.7,0.299,2.59,162.3,23.49
115.3,128.7,-6.9,2.25,4.18,28.7,0.64,2.6,64.6,27.828
86.1,346.8,16.1,1.61,7.39,30.3,0.965,2.07,188.0,28.931
97.9,19.9,9.0,0.39,6.87,24.3,0.214,2.49,79.1,21.777
22.3,419.7,-7.8,2.28,-4.26,42.2,0.654,2.27,160.4,23.668
126.7,224.1,6.8,4.09,-1.77,31.6,0.907,2.54,55.5,26.13
111.6,318.3,9.6,0.09,-4.36,38.6,0.462,2.45,17.1,19.104
43.4,110.6,39.5,2.91,3.02,42.7,0.317,2.09,176.9,21.592
40.0,338.5,0.4,4.4,4.24,19.9,0.667,2.42,185.8,28.786
40.2,386.1,17.2,1.09,-0.99,27.8,0.031,2.36,143.1,19.937
53.5,236.6,39.4,0.92,6.1,28.0,0.36,2.62,155.2,23.443
77.7,308.9,29.6,3.86,0.89,25.6,0.258,2.4,6.4,23.804
67.5,228.2,39.7,1.28,7.98,15.3,0.225,2.38,152.0,26.275
52.0,447.0,38.4,0.96,-4.99,39.5,0.18,2.58,97.1,19.439
87.3,248.9,14.5,1.89,-3.58,18.3,0.737,2.53,93.3,22.203
35.3,420.9,24.8,1.96,-1.08,44.9,0.955,2.79,110.3,22.681
52.1,400.7,-4.5,4.37,-4.67,38.2,0.385,2.28,57.9,24.221
60.3,205.3,12.1,3.09,5.17,32.4,0.049,2.55,140.8,22.948
70.2,115.0,30.5,2.03,-4.31,19.6,0.719,2.13,62.6,18.862
106.4,203.0,15.3,2.67,4.74,30.5,0.538,2.64,113.9,26.189
42.0,413.1,25.1,4.77,-4.32,22.8,0.724,2.63,31.7,23.405
76.6,113.8,27.3,0.57,-1.71,22.6,0.648,2.58,136.6,19.904
85.2,262.2,2.7,1.04,5.94,39.9,0.905,2.1,42.0,27.541
25.1,403.0,33.8,4.81,7.36,26.4,0.14,2.79,38.2,25.474
86.8,176.7,13.0,4.79,0.39,28.5,0.169,2.75,9.7,21.979
38.8,321.1,0.5,0.89,7.61,40.3,0.342,2.3,28.7,23.959
27.2,122.8,33.3,0.73,3.15,17.6,0.491,2.46,50.4,18.374
124.4,54.6,10.9,2.11,0.41,32.8,0.926,2.71,48.4,24.103
126.2,397.2,27.5,0.25,5.44,32.3,0.907,2.4,68.9,27.608
108.9,49.5,17.4,3.27,-1.16,27.8,0.872,2.48,15.6,24.29
53.5,135.7,9.1,0.39,-1.54,39.9,0.223,2.48,187.4,18.851
30.7,427.6,30.5,0.29,3.54,43.3,0.73,2.52,28.2,22.053
